Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5899,0,0,5866,33,27,3732,22,4145,17,938,524,644,2488,1288,1419,1063,18.02,0,1.70794,0,4
1,269,5903,0,0,5848,55,46,3673,22,4154,32,906,610,648,2454,1253,1418,1046,17.7198,0,1.71057,0,4
2,269,5807,0,0,5771,36,33,3646,25,4131,17,885,616,626,2493,1170,1403,1028,17.7028,0,1.70387,0,4
3,269,5821,0,0,5782,39,31,3714,26,4248,21,905,542,654,2484,1215,1446,1053,18.0897,0,1.73853,0,4
4,269,5866,0,0,5819,47,40,3656,23,4085,21,936,556,654,2390,1309,1460,1069,18.2237,0,1.69062,0,4
5,269,5914,0,0,5871,43,38,3644,22,4079,26,927,609,628,2495,1229,1468,1106,18.7014,0,1.6889,0,4
6,269,5969,0,0,5917,52,45,3647,21,4070,21,944,605,684,2455,1260,1453,1083,18.1437,0,1.68634,0,4
7,269,5679,0,0,5650,29,21,3700,21,4045,21,816,464,634,2500,1244,1412,1038,18.2779,0,1.67926,0,4
8,269,5865,0,0,5836,29,28,3646,22,4048,21,903,628,623,2463,1227,1419,1076,18.3461,0,1.68011,0,4
9,269,5842,0,0,5801,41,40,3702,21,4071,26,919,536,644,2410,1307,1448,1086,18.5895,0,1.68663,0,4
10,269,5751,0,0,5718,33,26,3555,21,3983,19,874,606,633,2320,1299,1406,1044,18.1534,0,1.66196,0,4
11,269,5987,0,0,5945,42,38,3713,24,4040,19,976,609,661,2405,1317,1446,1096,18.3063,0,1.67785,0,4
12,269,5832,0,0,5802,30,23,3650,22,4123,21,902,577,618,2468,1246,1455,1100,18.8615,0,1.70155,0,4
13,269,5808,0,0,5770,38,34,3655,23,4016,20,930,525,628,2418,1287,1407,1046,18.0096,0,1.67112,0,4
14,269,5892,0,0,5862,30,27,3637,21,4086,20,920,621,644,2442,1245,1410,1037,17.6001,0,1.6909,0,4
15,269,5908,0,0,5885,23,20,3703,22,4103,16,892,599,634,2466,1301,1460,1056,17.8741,0,1.69578,0,4
16,269,5912,0,0,5889,23,22,3698,23,4112,15,886,645,638,2495,1233,1533,1165,19.7057,0,1.69837,0,4
17,269,5748,0,0,5707,41,41,3683,22,4116,28,852,528,599,2460,1281,1386,1066,18.5456,0,1.69952,0,4
18,269,5798,0,0,5778,20,16,3685,22,4065,20,892,554,618,2453,1261,1391,1042,17.9717,0,1.68492,0,4
19,269,5859,0,0,5815,44,37,3621,24,4021,14,905,632,642,2423,1243,1398,1034,17.6481,0,1.67252,0,4
20,269,5939,0,0,5897,42,36,3575,26,3953,16,956,641,705,2362,1259,1425,1072,18.0502,0,1.65371,0,4
21,269,5829,0,0,5786,43,36,3580,22,4032,26,898,635,644,2365,1261,1383,1020,17.4987,0,1.6756,0,4
22,269,5772,0,0,5727,45,39,3555,24,4014,22,851,585,673,2408,1233,1432,1046,18.122,0,1.67056,0,4
23,269,5776,0,0,5719,57,52,3568,23,3970,19,904,583,648,2411,1211,1433,1051,18.196,0,1.65837,0,4
24,269,5830,0,0,5776,54,53,3706,22,4120,22,900,593,590,2407,1318,1452,1089,18.6792,0,1.70068,0,4
25,269,5711,0,0,5688,23,18,3590,25,4021,20,909,508,607,2413,1254,1420,1044,18.2805,0,1.67252,0,4
26,269,5886,0,0,5851,35,33,3789,23,4174,17,891,548,626,2539,1265,1442,1075,18.2637,0,1.71644,0,4
27,269,5944,0,0,5916,28,26,3655,22,4031,19,987,625,614,2451,1248,1499,1142,19.2127,0,1.67532,0,4
28,269,5755,0,0,5734,21,20,3504,23,4056,22,912,573,644,2338,1266,1426,1077,18.7142,0,1.68237,0,4
